rn,V1,V2,V3,organ,type,sample_size,,,,
1,plant_organ_afflictedleaves:study_typea,,,,Leaf,A,,,,
2,plant_organ_afflictedroots:study_typea,,,,Root,A,,,,
3,plant_organ_afflictedseed:study_typea,,,,Seed,A,,,,
4,plant_organ_afflictedstem:study_typea,,,,Stem,A,,,,
5,plant_organ_afflictedwhole organism:study_typea,,,,Whole,A,,,,
6,plant_organ_afflictedleaves:study_typed,,,,Leaf,D,,,,
7,plant_organ_afflictedroots:study_typed,,,,Root,D,,,,
8,plant_organ_afflictedseed:study_typed,,,,Seed,D,,,,
9,plant_organ_afflictedstem:study_typed,,,,Stem,D,84,-0.669134578,-0.965793616,-0.372475541
10,plant_organ_afflictedwhole organism:study_typed,,,,Whole,D,44,-0.680870369,-1.089346713,-0.272394025
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,Organ,Biocontrol,K,d,lower 95% CI,upper 95% CI,,,,
,Leaf,,,,,,,,,
,,No,23,-1.7593,-2.3432,-1.1754,,,,
,,Yes,16,-0.5856,-1.2551,0.0838,,,,
,Root,,,,,,,,,
,,No,57,-0.8059,-1.1730,-0.4389,,,,
,,Yes,40,-1.1046,-1.5551,-0.6541,,,,
,Seed,,,,,,,,,
,,No,10,-0.8956,-1.8019,0.0106,,,,
,,Yes,13,-0.8991,-1.6240,-0.1741,,,,
,Stem,,,,,,,,,
,,No,65,-0.7301,-1.0750,-0.3851,,,,
,,Yes,58,-0.7883,-1.1525,-0.4241,,,,
,Whole,,,,,,,,,
,,No,84,-0.6691,-0.9658,-0.3725,,,,
,,Yes,44,-0.6809,-1.0893,-0.2724,,,,
,,,,,,,,,,
