publication_title,plant_family,plant_genus,plant_species,plant_growth_form,plant_life_history,plant_geographic_source,insect_order,insect_family,insect_genus,insect_species,insect_sex,poly_or_mono,insect_geographic_source,insect_life_stage,study_design,paper_source,plant_status,insect_status,biocontrol_study,study_type,notes,plant_genus_species,insect_genus_species,response_measure,plant_organ_afflicted,response_type_or_metric,response_units,response_measure,error_type,response_c,error_c,n_c,response_t,error_t,n_t,hedges_d,var_hedges_d
constraints on the utilisation of the invasive chinese tallow tree sapium sebiferum by generalist native herbivores in coastal prairies,euphorbiaceae,sapium,sebiferum,tree,perennial,china,orthoptera,acrididae,melanoplus,angustipennis,unclear,polyphagous,midwest us,adult,cage,figure 5,native,native,no,a,,sapium_sebiferum,melanoplus_angustipennis,biomass,stem,mass,g,x,sd,0.282167,0.23875974,12,0.071219,0.080931806,12,-1.142540445,0.193862472
above- and belowground herbivory jointly impact defense and seed dispersal traits in taraxacum officinaleo??<,asteraceae,taraxacum,officinale,forb,perennial,europe and asia,orthoptera,acrididae,schistocerca,gregaria,unclear,polyphagous,africa into asia,adult,cage,figure 1,native,native,no,a,,taraxacum_officinale,schistocerca_gregaria,biomass,stem,mass,g,x,sd,10.852,4.655752571,48,16.502,6.214598298,48,1.020766279,0.047093561
above- and belowground herbivory jointly impact defense and seed dispersal traits in taraxacum officinaleo??<,asteraceae,taraxacum,officinale,forb,perennial,europe and asia,orthoptera,acrididae,schistocerca,gregaria,unclear,polyphagous,africa into asia,adult,cage,figure 1,native,native,no,a,,taraxacum_officinale,schistocerca_gregaria,biomass,roots,mass,g,x,sd,6.905,3.935219435,48,12.257,7.039054482,48,0.931047289,0.046181505
above- and belowground herbivory jointly impact defense and seed dispersal traits in taraxacum officinaleo??<,asteraceae,taraxacum,officinale,forb,perennial,europe and asia,orthoptera,acrididae,schistocerca,gregaria,unclear,polyphagous,africa into asia,adult,cage,figure 4,native,native,no,a,,taraxacum_officinale,schistocerca_gregaria,biomass,seed,mass,g,x,sd,0.000401,0.000145492,48,0.000452,0.000103923,48,0.400165011,0.042500688
above- and belowground herbivory jointly impact defense and seed dispersal traits in taraxacum officinaleo??<,asteraceae,taraxacum,officinale,forb,perennial,europe and asia,orthoptera,acrididae,schistocerca,gregaria,unclear,polyphagous,africa into asia,adult,cage,figure 4,native,native,no,a,,taraxacum_officinale,schistocerca_gregaria,number of,seed,count,count,x,sd,132.353,309.5798331,48,162.896,372.2731442,48,0.088498229,0.041707458
constraints on the utilisation of the invasive chinese tallow tree sapium sebiferum by generalist native herbivores in coastal prairies,euphorbiaceae,sapium,sebiferum,tree,perennial,china,orthoptera,acrididae,melanoplus,angustipennis,unclear,polyphagous,midwest us,adult,cage,figure 5,invasive,native,yes,c,,sapium_sebiferum,melanoplus_angustipennis,biomass,stem,mass,g,x,sd,0.161174,0.076369584,12,0.071162,0.074613285,12,-1.151153892,0.194274068
assessing density_damage relationships between water hyacinth and its grasshopper herbivore,pontederiaceae ,eichhornia,crassipes,forb,annual,amazon basin,orthoptera,acrididae,cornops,aquaticum,female,,lowlands from mexico to central argentina and uruguay,adult,cage,figure 5,invasive,introduced,yes,d,4 females per plant,eichhornia_crassipes,cornops_aquaticum,number of,leaves,count,count,x,sd,8.097,0.541337233,6,0.162,0.352726523,6,-16.03213451,11.04288904
assessing density_damage relationships between water hyacinth and its grasshopper herbivore,pontederiaceae ,eichhornia,crassipes,forb,annual,amazon basin,orthoptera,acrididae,cornops,aquaticum,female,,lowlands from mexico to central argentina and uruguay,adult,cage,figure 5,invasive,introduced,yes,d,3 females per plant,eichhornia_crassipes,cornops_aquaticum,number of,leaves,count,count,x,sd,8.097,0.541337233,6,0.396,0.683407638,6,-11.53099899,5.873497406
"evaluating the impact of herbivory by a grasshopper, cornops aquaticum (orthoptera: acrididae), on the competitive performance and biomass accumulation of water hyacinth, eichhornia crassipes (pontederiaceae)",pontederiaceae,eichhornia,crassipes,forb,perennial,amazon basin,orthoptera,acrididae,cornops,aquaticum,both,polyphagous,lowlands from mexico to central argentina and uruguay,adult,cage,figure 3,invasive,introduced,yes,d,9 plants,eichhornia_crassipes,cornops_aquaticum,biomass,whole organism,mass,g,x,sd,363,27.71281292,3,251,24.24871131,3,-3.441067269,1.653411996
"evaluating the impact of herbivory by a grasshopper, cornops aquaticum (orthoptera: acrididae), on the competitive performance and biomass accumulation of water hyacinth, eichhornia crassipes (pontederiaceae)",pontederiaceae,eichhornia,crassipes,forb,perennial,amazon basin,orthoptera,acrididae,cornops,aquaticum,both,polyphagous,lowlands from mexico to central argentina and uruguay,adult,cage,figure 3,invasive,introduced,yes,d,3 plants,eichhornia_crassipes,cornops_aquaticum,biomass,whole organism,mass,g,x,sd,701,81.40638796,3,535,65.81793069,3,-1.794021359,0.934876053
assessing density_damage relationships between water hyacinth and its grasshopper herbivore,pontederiaceae ,eichhornia,crassipes,forb,annual,amazon basin,orthoptera,acrididae,cornops,aquaticum,male,,lowlands from mexico to central argentina and uruguay,adult,cage,figure 5,invasive,introduced,yes,d,4 males per plant,eichhornia_crassipes,cornops_aquaticum,number of,leaves,count,count,x,sd,8.097,0.541337233,6,5.637,0.823028554,6,-3.25992555,0.776129775
assessing density_damage relationships between water hyacinth and its grasshopper herbivore,pontederiaceae ,eichhornia,crassipes,forb,annual,amazon basin,orthoptera,acrididae,cornops,aquaticum,female,,lowlands from mexico to central argentina and uruguay,adult,cage,figure 5,invasive,introduced,yes,d,2 females per plant,eichhornia_crassipes,cornops_aquaticum,number of,leaves,count,count,x,sd,8.097,0.541337233,6,2.655,2.251081074,6,-3.068402611,0.725628941
"evaluating the impact of herbivory by a grasshopper, cornops aquaticum (orthoptera: acrididae), on the competitive performance and biomass accumulation of water hyacinth, eichhornia crassipes (pontederiaceae)",araceae,pistia,stratiotes,forb,perennial,i imagine south america,orthoptera,acrididae,cornops,aquaticum,both,polyphagous,lowlands from mexico to central argentina and uruguay,adult,cage,figure 3,invasive,introduced,yes,d,3 plants,pistia_stratiotes,cornops_aquaticum,biomass,whole organism,mass,g,x,sd,356,51.96152423,3,330,45.033321,3,-0.427798836,0.681917654
"evaluating the impact of herbivory by a grasshopper, cornops aquaticum (orthoptera: acrididae), on the competitive performance and biomass accumulation of water hyacinth, eichhornia crassipes (pontederiaceae)",araceae,pistia,stratiotes,forb,perennial,i imagine south america,orthoptera,acrididae,cornops,aquaticum,both,polyphagous,lowlands from mexico to central argentina and uruguay,adult,cage,figure 3,invasive,introduced,yes,d,9 plants,pistia_stratiotes,cornops_aquaticum,biomass,whole organism,mass,g,x,sd,152,25.98076211,3,150,25.98076211,3,-0.061584029,0.666982716
assessing density_damage relationships between water hyacinth and its grasshopper herbivore,pontederiaceae ,eichhornia,crassipes,forb,annual,amazon basin,orthoptera,acrididae,cornops,aquaticum,male,,lowlands from mexico to central argentina and uruguay,adult,cage,figure 5,invasive,introduced,yes,d,3 males per plant,eichhornia_crassipes,cornops_aquaticum,number of,leaves,count,count,x,sd,8.097,0.541337233,6,6.95,1.949793835,6,-0.73995113,0.356146986
assessing density_damage relationships between water hyacinth and its grasshopper herbivore,pontederiaceae ,eichhornia,crassipes,forb,annual,amazon basin,orthoptera,acrididae,cornops,aquaticum,male,,lowlands from mexico to central argentina and uruguay,adult,cage,figure 5,invasive,introduced,yes,d,2 males per plant,eichhornia_crassipes,cornops_aquaticum,number of,leaves,count,count,x,sd,8.097,0.541337233,6,7.861,1.190452015,6,-0.235580126,0.33564575
"the effect of a rosette-crown fly, botanophila turcica, on growth, biomass allocation and reproduction of the thistle carthamus lanatus",asteraceae,carthamus,lanatus,forb,annual,mediterranean basin,diptera,anthomyiidae,botanophila,turcica,both,monophagous,europe to near east,both,cage,table 2,native,native,no,a,,carthamus_lanatus,botanophila_turcica,biomass,roots,mass,g,x,sd,0.405,0.230846269,10,0.324,0.158113883,10,-0.392100534,0.203843571
"the effect of a rosette-crown fly, botanophila turcica, on growth, biomass allocation and reproduction of the thistle carthamus lanatus",asteraceae,carthamus,lanatus,forb,annual,mediterranean basin,diptera,anthomyiidae,botanophila,turcica,both,monophagous,europe to near east,both,cage,table 2,native,native,no,a,,carthamus_lanatus,botanophila_turcica,biomass,roots,mass,g,x,sd,0.595,0.077903787,21,0.515,0.050408333,21,-1.196274604,0.112274678
"the effect of a rosette-crown fly, botanophila turcica, on growth, biomass allocation and reproduction of the thistle carthamus lanatus",asteraceae,carthamus,lanatus,forb,annual,mediterranean basin,diptera,anthomyiidae,botanophila,turcica,both,monophagous,europe to near east,both,cage,table 2,native,native,no,a,,carthamus_lanatus,botanophila_turcica,biomass,roots,mass,g,x,sd,2.18,1.506884203,27,1.17,0.866833317,26,-0.805537712,0.081620189
selection of preadapted populations allowed senecio inaequidens to invade central europe,asteraceae,senecio,inaequidens,forb,perennial,south africa,hemiptera,aphididae,aulacorthum,solani,unclear,polyphagous,,unclear,cage,figure 2-a,native,native,no,a,,senecio_inaequidens,aulacorthum_solani,biomass,stem,mass,g,x,sd,4.39,0.206,5,3.222,0.164,5,-5.66614017,2.005257221
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,roots,mass,g,x,sd,0.081,0.012124356,3,0.045,0.010392305,3,-2.55057087,1.208784314
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,roots,mass,g,x,sd,0.081,0.012124356,3,0.043,0.012124356,3,-2.50734974,1.190566893
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,stem,mass,g,x,sd,8.243,0.55772036,3,9.81,0.446869108,3,2.480689135,1.179484882
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,roots,mass,g,x,sd,0.081,0.012124356,3,0.046,0.010392305,3,-2.47972168,1.179084967
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,stem,mass,g,x,sd,8.243,0.55772036,3,9.746,0.408763991,3,2.459157966,1.170621492
selection of preadapted populations allowed senecio inaequidens to invade central europe,asteraceae,senecio,inaequidens,forb,perennial,south africa,hemiptera,aphididae,aulacorthum,solani,unclear,polyphagous,,unclear,cage,figure 2-b,native,native,no,a,,senecio_inaequidens,aulacorthum_solani,biomass,stem,mass,g,x,sd,1.49,0.176,5,0.835,0.124,5,-3.88613959,1.155104046
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,stem,mass,g,x,sd,8.243,0.55772036,3,9.681,0.446869108,3,2.276471587,1.098526907
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,roots,mass,g,x,sd,0.081,0.012124356,3,0.05,0.010392305,3,-2.196324916,1.068653595
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,stem,mass,g,x,sd,8.243,0.55772036,3,9.359,0.410496041,3,1.82325812,0.943689181
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,roots,mass,g,x,sd,0.081,0.012124356,3,0.056,0.010392305,3,-1.771229771,0.928104575
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,stem,mass,g,x,sd,8.243,0.55772036,3,9.295,0.446869108,3,1.665402023,0.897796992
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,stem,mass,g,x,sd,8.243,0.55772036,3,9.295,0.521347293,3,1.558979705,0.869201477
"unpredicted impacts of insect endosymbionts on interactions between soil organisms, plants and aphids",solanaceae,solanum,tuberosum,forb,perennial,united states to southern chile,hemiptera,aphididae,macrosiphum,euphorbiae,unclear,polyphagous,north america,unclear,cage,figure 2,native,native,no,a,6 clonal aphid lines are treatments,solanum_tuberosum,macrosiphum_euphorbiae,biomass,roots,mass,g,x,sd,0.081,0.012124356,3,0.058,0.012124356,3,-1.517606422,0.858594104
selection of preadapted populations allowed senecio inaequidens to invade central europe,asteraceae,senecio,inaequidens,forb,perennial,south africa,hemiptera,aphididae,aulacorthum,solani,unclear,polyphagous,,unclear,cage,figure 2-c,native,native,no,a,,senecio_inaequidens,aulacorthum_solani,number of,flower,count,count,x,sd,21.628,3.401,5,13.256,2.006,5,-2.70835656,0.766759763
selection of preadapted populations allowed senecio inaequidens to invade central europe,asteraceae,senecio,inaequidens,forb,perennial,south africa,hemiptera,aphididae,aulacorthum,solani,unclear,polyphagous,,unclear,cage,figure 2-d,native,native,no,a,,senecio_inaequidens,aulacorthum_solani,number of,stem,count,count,x,sd,4.424,0.541,5,3.255,0.486,5,-2.053281557,0.610798258
nitrogen deposition and herbivory affect biomass production and allocation in an annual plant,asteraceae,ambrosia,artemisiifolia,forb,annual,north america,hemiptera,aphididae,uroleucon,tuataiae,unclear,monophagous,northeastern us,unclear,cage,figure 1,native,native,no,a,,ambrosia_artemisiifolia,uroleucon_tuataiae,biomass,fruit,mass,g,x,sd,2.543,0.283,8,3.393,0.527,8,1.899955747,0.362807245
